,state_idx,action_idx,rank,mape,mae,mse,weight
136,45,1,0,0.5004659537464001,0.7151476750260676,0.5869783344627811,0.215625
137,45,2,0,0.580493996392665,0.8220554342554958,0.7614511053176218,0.215625
138,46,0,3,4.020453540168759,0.8947285422909458,0.9017341306273178,0.215625
139,46,1,3,3.171070405669621,0.6582070449221332,0.5450792460257893,0.215625
140,46,2,3,3.762188314511622,0.8144469170995752,0.7706574399783414,0.215625
141,47,0,3,1.8069955316278046,0.3540988841296236,0.1915212368890541,0.2819078947368421
142,47,1,3,1.702120974157389,0.4013042270751157,0.2152506062144217,0.2819078947368421
143,47,2,3,1.9168530339816499,0.4062760105177468,0.22137850446919952,0.2819078947368421
144,48,0,0,1.2465976363352553,0.41945196272538565,0.19567006948925367,0.2819078947368421
145,48,1,0,1.45265258004694,0.597153585812587,0.4096451488443175,0.2819078947368421
146,48,2,0,1.141529206138806,0.4818158275793638,0.2621491122805162,0.2819078947368421
147,49,0,3,0.7355593276010887,0.38662490216700734,0.19593664740982178,0.2819078947368421
148,49,1,3,0.6785188285446201,0.4195457140411809,0.20069460140290976,0.2819078947368421
149,49,2,3,0.764823680149536,0.41331098290968615,0.2123034429593076,0.2819078947368421
150,50,0,3,9.166275262083236,0.8231162967293361,0.8329209890106964,0.215625
151,50,1,3,7.960802572587222,0.7398712925125062,0.6362391296711007,0.215625
152,50,2,3,8.670338501825341,0.7925109557319581,0.7597884623274321,0.215625
153,51,0,0,0.5107168264416988,0.8225574661247608,0.7123182204210666,0.215625
154,51,1,0,0.4216718903419483,0.6703966949336407,0.4703580744949288,0.215625
155,51,2,0,0.4830014123975149,0.7763855774156925,0.6328622378554605,0.215625
156,52,0,0,0.3220863685143826,0.3611685941504823,0.24990115040698027,0.2819078947368421
157,52,1,3,0.46024287761033483,0.3905378453912444,0.21729546623345994,0.2819078947368421
158,52,2,0,0.3768593057798182,0.3813451157714751,0.25499447638943745,0.2819078947368421
159,53,0,3,1.084573542043221,0.37300981022166524,0.22974021867511665,0.5024671052631579
160,53,1,3,0.9027361671434773,0.3681387997246152,0.16819090400573286,0.5024671052631579
161,53,2,3,1.035607175987045,0.36202126776659393,0.20614069449921238,0.5024671052631579
162,54,0,1,0.7104569016843513,0.745514415078203,0.6114737360323467,0.215625
163,54,1,0,0.4420351755793887,0.5157403890284967,0.33990411543308624,0.215625
164,54,2,1,0.6012355785111906,0.6613012401986521,0.507584589751381,0.215625
165,55,0,3,4.971181528443142,0.4572693629574143,0.2836976045544761,0.215625
166,55,1,3,4.593193825339336,0.39689202080307445,0.19065243004317886,0.215625
167,55,2,3,2.918705811806932,0.43206687434126456,0.2694504445156816,0.215625
168,56,0,3,13.506456688802862,0.31920552527194296,0.13006842321912218,0.2819078947368421
169,56,1,3,13.151060657467822,0.5717323977694232,0.3659726835248067,0.2819078947368421
170,56,2,3,6.395863702042296,0.4111063402340133,0.20708357883926157,0.2819078947368421
171,57,0,3,0.5101714490840361,0.3551661409069132,0.17894147043351805,0.2819078947368421
172,57,1,3,0.7365897312490587,0.5426757422217757,0.3419202791464038,0.2819078947368421
173,57,2,3,0.5991819039567031,0.43023694427103115,0.23187785849255657,0.2819078947368421
174,58,0,1,0.2359484728574136,0.215550789917784,0.06031153608555912,0.2819078947368421
175,58,1,2,0.33997201840050345,0.36119728690900016,0.16082573283738438,0.2819078947368421
176,58,2,1,0.2843565855295817,0.27216499574543046,0.0931024452363635,0.2819078947368421
177,59,0,3,2.2180584504524385,0.5114772423763038,0.38398767110351906,0.2819078947368421
178,59,1,3,1.965429096937914,0.5017316410500096,0.30867438416640386,0.2819078947368421
179,59,2,3,2.186287717262369,0.5087290367505232,0.3649503713160977,0.2819078947368421
180,60,0,3,0.4588763554410195,0.2235942339078719,0.11171798144119642,0.2819078947368421
181,60,1,3,0.440635967185552,0.3439750791392104,0.14230464487552857,0.2819078947368421
182,60,2,3,0.4322365258678645,0.2483647622607048,0.09851486575163904,0.2819078947368421
183,61,0,3,0.5982946955763043,0.22388487712386498,0.06879738353024538,0.2819078947368421
184,61,1,3,1.1294524945581335,0.3691770446804024,0.17564559724577133,0.2819078947368421
185,61,2,3,0.8482970488748701,0.2790842346909148,0.10811746511260811,0.2819078947368421
186,62,0,3,0.89784919129793,0.35695243046801783,0.2043546035138738,0.5024671052631579
187,62,1,3,0.7494122295945541,0.3592516620853521,0.15176372639307142,0.5024671052631579
188,62,2,3,0.8462076849122667,0.3509131527122576,0.17823392463435636,0.5024671052631579
189,63,0,3,0.8297789717819247,0.2853945119256627,0.13578385602766316,0.2819078947368421
190,63,1,3,0.7806443219924507,0.32858270872908774,0.1515699597691781,0.2819078947368421
191,63,2,3,0.8632916202815766,0.31294814250481356,0.1527167037844518,0.2819078947368421
192,64,0,3,16.96832491859139,0.29336430531097396,0.11760825257891235,0.5024671052631579
193,64,1,3,2.031770596864026,0.2307041821362832,0.08714441713445287,0.5024671052631579
194,64,2,3,12.86498169180613,0.21537087190699697,0.06260745540946959,0.5024671052631579
195,65,0,2,0.5157456991833461,0.2734028152759784,0.08913924624774662,0.2819078947368421
196,65,1,3,1.0572168574926353,0.5048062871439928,0.32846844531891034,0.2819078947368421
197,65,2,3,0.785318897393262,0.3831458236320489,0.18479200533485765,0.2819078947368421
198,66,0,0,1.3093719005498814,0.5720395723300374,0.39066904258189344,0.2819078947368421
199,66,1,3,2.096431389253089,0.847642551860767,0.8112469642865329,0.2819078947368421
200,66,2,0,1.5557664027937228,0.6803192406017313,0.5418500922663831,0.2819078947368421
201,67,0,3,1.3516657024996892,0.7566008780097387,0.586343068962882,0.215625
202,67,1,3,1.369218132589447,0.7016441984668793,0.5049762563726797,0.215625
203,67,2,3,1.363412426075253,0.7752297136878393,0.6095988979994448,0.215625
204,68,0,0,0.3308925699225404,0.3971453082669536,0.22833236296317347,0.2819078947368421
205,68,1,2,0.3669327646096801,0.47725532362939466,0.2986216591127932,0.2819078947368421
